Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Время объявления сделки,Дата закрытия сделки,Время закрытия сделки,Статус сделки,"Цена сделки, млн USD","Доля участия, %",Вид сделки,Тип сделки,Направление интеграции,Тип национальности,Дата завершения,Дата переговоров,Дата оформления,Дата актуализации,Дата создания,Отрасль объекта,Регион объекта,Отрасль покупателя,Регион покупателя,Капитализация покупателя на момент сделки,Опыт покупателя в M&A,Диверсификация выручки,Развитие основного бизнеса,Снижение себестоимости основного бизнеса,Покупка клиентской базы,Источник информации,audit_row_status,audit_skip_reason,audit_notes,audit_exception,audit_resolved_flag,audit_resolved_ticker,audit_resolved_name,audit_resolved_class_code,audit_resolved_uid,audit_resolved_figi,audit_rate_limit_hits,audit_first_press_release_date_parsed,audit_first_press_release_time_parsed,audit_cbonds_actualization_date_parsed,audit_cbonds_create_date_parsed,audit_is_off_market_release,audit_release_anchor_trade_date,audit_release_anchor_timestamp_msk,audit_release_anchor_reason,audit_python_version,audit_run_ts,audit_deal_close_date_parsed,source_row_excel,buyer_company_std,buyer_company_norm,buyer_ticker_std,buyer_ticker_norm,deal_object_std,deal_object_norm,announcement_date_std,completion_date_std,actualization_date_std,creation_date_std,announcement_time_std,completion_time_std,deal_value_usd_mn_std,stake_pct_std,deal_status_clean,deal_kind_clean,deal_type_clean,integration_direction_clean
Сбер (Сбербанк),SBER,2ГИС,11.06.2020,08:00,20.08.2020,15:08,Завершена,"140,60","72,00%",Покупка,Рыночная,Круговая,Внутренняя,8.202,8.2019,6.202,20.08.2020,22.08.2019,Телекоммуникации,"Россия (ЦФО, СФО)",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.866897,,3.070052,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_before_open_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-06-11,08:00,2020-08-20,2019-08-22,1.0,2020-06-11,2020-06-11T09:45:00+03:00,release_before_open_same_day_open,3.12.9,2026-03-29T18:04:43.124356+03:00,2020-08-20,79,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,2ГИС,2гис,2020-06-11,2020-08-20,2020-08-20,2019-08-22,08:00,15:08,140.6,72.0,Завершена,Покупка,Рыночная,Круговая
Сбер (Сбербанк),SBER,Rambler,29.07.2020,,29.07.2020,13:18,Завершена,"27,80","8,45%",Консолидация,Рыночная,Вертикальная,Внутренняя,8.202,,7.202,29.07.2020,29.07.2020,СМИ / Реклама / Спорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.866897,,3.070052,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-07-29,,2020-07-29,2020-07-29,0.0,2020-07-29,2020-07-29T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.126738+03:00,2020-07-29,80,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Rambler,rambler,2020-07-29,2020-07-29,2020-07-29,2020-07-29,,13:18,27.8,8.45,Завершена,Консолидация,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,Яндекс. Деньги,02.06.2020,17:54,22.07.2020,06:39,Завершена,"35,54","25,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,7.202,,6.202,22.07.2020,29.06.2020,Финансы / Инвестиции / Страхование / Консалтинг,"Россия (СЗФО, ЦФО)",Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.925174,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-06-02,17:54,2020-07-22,2020-06-29,0.0,2020-06-02,2020-06-02T17:45:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.132374+03:00,2020-07-22,81,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Яндекс. Деньги,яндекс деньги,2020-06-02,2020-07-22,2020-07-22,2020-06-29,17:54,06:39,35.54,25.0,Завершена,Консолидация,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,OZON.ru,04.06.2020,17:42,12.11.2020,17:17,Отменена,"208,20","30,00%",Влияние,Рыночная,Круговая,Внутренняя,,6.202,,12.11.2020,05.06.2020,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.686261,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-06-04,17:42,2020-11-12,2020-06-05,0.0,2020-06-04,2020-06-04T17:30:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.136379+03:00,2020-11-12,82,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,OZON.ru,ozon ru,2020-06-04,2020-11-12,2020-11-12,2020-06-05,17:42,17:17,208.2,30.0,Отменена,Влияние,Рыночная,Круговая
Сбер (Сбербанк),SBER,Rambler,14.06.2020,,,,Отменена,"18,50","5,00%",Консолидация,Рыночная,Круговая,Внутренняя,,6.202,,30.10.2020,14.06.2020,СМИ / Реклама / Спорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",2.686261,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_non_trade_day_next_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-06-14,,2020-10-30,2020-06-14,1.0,2020-06-15,2020-06-15T09:45:00+03:00,time_missing_non_trade_day_next_open,3.12.9,2026-03-29T18:04:43.138585+03:00,,83,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Rambler,rambler,2020-06-14,,2020-10-30,2020-06-14,,,18.5,5.0,Отменена,Консолидация,Рыночная,Круговая
Сбер (Сбербанк),SBER,ESforce Holdings,19.02.2020,17:39,,,Переговоры,,"51,00%",Покупка,Рыночная,Круговая,Внутренняя,,2.202,,20.02.2020,20.02.2020,СМИ / Реклама / Спорт,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",4.118097,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2020-02-19,17:39,2020-02-20,2020-02-20,0.0,2020-02-19,2020-02-19T17:30:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.140755+03:00,,84,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,ESforce Holdings,esforce holdings,2020-02-19,,2020-02-20,2020-02-20,17:39,,,51.0,Переговоры,Покупка,Рыночная,Круговая
ПАО Совкомбанк,SVCB,Либерти Страхование,26.12.2019,,10.02.2020,11:00,Завершена,"17,00","100,00%",Полное приобретение,Рыночная,Параллельная,Внутренняя,2.202,,12.2019,07.02.2020,26.12.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-26,,2020-02-07,2019-12-26,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.142824+03:00,2020-02-10,85,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Либерти Страхование,либерти страхование,2019-12-26,2020-02-10,2020-02-07,2019-12-26,,11:00,17.0,100.0,Завершена,Полное приобретение,Рыночная,Параллельная
ПАО Совкомбанк,SVCB,Вкабанк,11.12.2019,,06.11.2020,16:15,Оформление,,"100,00%",Полное приобретение,Рыночная,Горизонтальная,Внутренняя,,,12.2019,11.12.2019,11.12.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-11,,2019-12-11,2019-12-11,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.143954+03:00,2020-11-06,86,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Вкабанк,вкабанк,2019-12-11,2020-11-06,2019-12-11,2019-12-11,,16:15,,100.0,Оформление,Полное приобретение,Рыночная,Горизонтальная
ПАО Совкомбанк,SVCB,Волго-Каспийский акционерный банк (ВКА-банк),05.12.2019,,25.03.2020,17:08,Завершена,"14,20","91,00%",Консолидация,Рыночная,Горизонтальная,Внутренняя,12.2019,,,02.12.2019,05.12.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЮФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-05,,2019-12-02,2019-12-05,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.146360+03:00,2020-03-25,87,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Волго-Каспийский акционерный банк (ВКА-банк),волго каспийский акционерный банк вка банк,2019-12-05,2020-03-25,2019-12-02,2019-12-05,,17:08,14.2,91.0,Завершена,Консолидация,Рыночная,Горизонтальная
ПАО Совкомбанк,SVCB,Септем Капитал / Yango. Доходчивые вложения,11.12.2019,,04.12.2019,20:48,Завершена,,"50,10%",Покупка,Рыночная,Вертикальная,Внутренняя,12.2019,,,02.12.2019,11.12.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-11,,2019-12-02,2019-12-11,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.148640+03:00,2019-12-04,88,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Септем Капитал / Yango. Доходчивые вложения,септем капитал yango доходчивые вложения,2019-12-11,2019-12-04,2019-12-02,2019-12-11,,20:48,,50.1,Завершена,Покупка,Рыночная,Вертикальная
ПАО Совкомбанк,SVCB,Соллерс-Финанс,24.12.2019,,24.12.2019,16:16,Завершена,"19,30","50,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,12.2019,,,05.03.2020,24.12.2019,Услуги / торговля,Россия,Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,SVCB,Совкомбанк,TQBR,1fbecbbc-ef32-448c-b4fe-b0037795ba01,TCS00A0ZZAC4,0,2019-12-24,,2020-03-05,2019-12-24,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.150356+03:00,2019-12-24,89,ПАО Совкомбанк,пао совкомбанк,SVCB,SVCB,Соллерс-Финанс,соллерс финанс,2019-12-24,2019-12-24,2020-03-05,2019-12-24,,16:16,19.3,50.0,Завершена,Консолидация,Рыночная,Вертикальная
Т-банк (Тинькофф),T,CloudPayments,13.10.2017,,22.05.2019,,Завершена,"0,82","5,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,8.2019,,,29.08.2019,13.10.2017,Телекоммуникации,Россия (ЦФО),Финансы / Инвестиции / Страхование / Консалтинг,Россия,,,,,,,,ready_without_release_anchor,,resolved=raw_ticker_exact; release_anchor=no_trade_days_near_release,,1,T,Т-Технологии,TQBR,87db07bc-0e02-4e29-90bb-05e8ef791d7b,TCS80A107UL4,0,2017-10-13,,2019-08-29,2017-10-13,0.0,,,no_trade_days_near_release,3.12.9,2026-03-29T18:04:43.152143+03:00,2019-05-22,90,Т-банк (Тинькофф),т банк тинькофф,T,T,CloudPayments,cloudpayments,2017-10-13,2019-05-22,2019-08-29,2017-10-13,,,0.82,5.0,Завершена,Консолидация,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,Shiptor,30.07.2019,,30.07.2019,18:03,Завершена,,"100,00%",Полное приобретение,Рыночная,Вертикальная,Внутренняя,7.2019,,,30.07.2019,30.07.2019,Транспорт,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.566448,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=time_missing_same_day_open,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2019-07-30,,2019-07-30,2019-07-30,0.0,2019-07-30,2019-07-30T09:45:00+03:00,time_missing_same_day_open,3.12.9,2026-03-29T18:04:43.153023+03:00,2019-07-30,91,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,Shiptor,shiptor,2019-07-30,2019-07-30,2019-07-30,2019-07-30,,18:03,,100.0,Завершена,Полное приобретение,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,PayZakat,11.06.2019,15:20,,,Оформление,,"25,00%",Консолидация,Рыночная,Вертикальная,Внутренняя,,,6.2019,11.06.2019,11.06.2019,Финансы / Инвестиции / Страхование / Консалтинг,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.489693,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2019-06-11,15:20,2019-06-11,2019-06-11,0.0,2019-06-11,2019-06-11T15:15:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.155191+03:00,,92,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,PayZakat,payzakat,2019-06-11,,2019-06-11,2019-06-11,15:20,,,25.0,Оформление,Консолидация,Рыночная,Вертикальная
Сбер (Сбербанк),SBER,rabota.ru,01.04.2019,17:46,04.06.2019,12:32,Завершена,"15,27","100,00%",Полное приобретение,Рыночная,Круговая,Внутренняя,6.2019,,4.2019,07.06.2019,02.04.2019,Телекоммуникации,Россия,Финансы / Инвестиции / Страхование / Консалтинг,"Беларусь, Германия, Индия, Казахстан, Люксембург, Нидерланды, Россия (СФО)",3.489693,,,,,,,ready,,resolved=raw_ticker_exact; release_anchor=release_in_market,,1,SBER,Сбер Банк,TQBR,e6123145-9665-43e0-8413-cd61b8aa9b13,BBG004730N88,0,2019-04-01,17:46,2019-06-07,2019-04-02,0.0,2019-04-01,2019-04-01T17:45:00+03:00,release_in_market,3.12.9,2026-03-29T18:04:43.157449+03:00,2019-06-04,93,Сбер (Сбербанк),сбер сбербанк,SBER,SBER,rabota.ru,rabota ru,2019-04-01,2019-06-04,2019-06-07,2019-04-02,17:46,12:32,15.27,100.0,Завершена,Полное приобретение,Рыночная,Круговая
