source_row_excel,Покупатель,Тикер покупателя,Объект сделки,Дата объявления сделки,Дата создания,DAYS_CREATE_TO_ANNOUNCEMENT,CAR_ANN_1_1,CAR_CREATE_1_1,CAR_ANN_3_3,CAR_CREATE_3_3,CAR_ANN_5_5,CAR_CREATE_5_5,CAR_ANN_10_10,CAR_CREATE_10_10,BHAR_ANN_60,BHAR_CREATE_60,BHAR_ANN_120,BHAR_CREATE_120,BHAR_ANN_250,BHAR_CREATE_250,RUNUP_PRE_30_5,CAR_PRE_ANNOUNCEMENT,DIFF_CREATE_MINUS_ANN_1_1,DIFF_CREATE_MINUS_ANN_3_3,DIFF_CREATE_MINUS_ANN_5_5,DIFF_CREATE_MINUS_ANN_10_10,DIFF_BHAR_CREATE_MINUS_ANN_120
79,Сбер (Сбербанк),SBER,2ГИС,11.06.2020,22.08.2019,294,-0.0462474700667393,0.0161548789206367,-0.0507547048658494,0.0132952570751632,-0.0656664390482241,0.0203722702557248,0.0391558261344642,0.0390366057542028,,,,,,,0.1265732332089305,0.124634383379846,0.062402348987376,0.06404996194101259,0.0860387093039489,-0.00011922038026140197,
80,Сбер (Сбербанк),SBER,Rambler,29.07.2020,29.07.2020,0,0.0063623568750735,0.0063623568750735,0.0448960611250528,0.0448960611250528,0.0455215443862306,0.0455215443862306,0.1461988556571926,0.1461988556571926,,,,,,,0.0420604773892651,0.0403358231837347,0.0,0.0,0.0,0.0,
81,Сбер (Сбербанк),SBER,Яндекс. Деньги,02.06.2020,29.06.2020,-27,0.1015225232062135,-0.0110479064578026,0.1024974156056111,0.0248652031305607,0.1329930532904736,0.0383109405571421,0.1021972089691785,-0.0142217185236083,,,,,,,0.0318002688540655,0.0815506376007297,-0.11257042966401609,-0.0776322124750504,-0.09468211273333149,-0.1164189274927868,
82,Сбер (Сбербанк),SBER,OZON.ru,04.06.2020,05.06.2020,-1,0.0350438655916029,-0.0042905039992617,0.0832964767648273,0.0458998243090543,0.0527349587722385,0.0150977871858928,0.0703332160053057,0.0693962600065548,,,,,,,0.0831647628673225,0.162736066561341,-0.0393343695908646,-0.037396652455773005,-0.0376371715863457,-0.0009369559987509046,
83,Сбер (Сбербанк),SBER,Rambler,14.06.2020,14.06.2020,0,-0.0224890931357372,-0.0224890931357372,-0.0772271398386762,-0.0772271398386762,-0.0368253140877546,-0.0368253140877546,-0.0061959687883436,-0.0061959687883436,,,,,,,0.1340831842480544,0.0843207274146818,0.0,0.0,0.0,0.0,
84,Сбер (Сбербанк),SBER,ESforce Holdings,19.02.2020,20.02.2020,-1,-0.0047846695644228,0.0064070240762992,-0.0345326527287797,-0.0032235902470518,-0.04562824133553,-0.0848245522709713,-0.0915777456891402,-0.1439087652697794,,,,,,,0.0045759002358412,-0.0163922120981385,0.011191693640722,0.0313090624817279,-0.0391963109354413,-0.05233101958063918,
85,ПАО Совкомбанк,SVCB,Либерти Страхование,26.12.2019,26.12.2019,0,,,,,,,,,,,,,,,,,,,,,
86,ПАО Совкомбанк,SVCB,Вкабанк,11.12.2019,11.12.2019,0,,,,,,,,,,,,,,,,,,,,,
87,ПАО Совкомбанк,SVCB,Волго-Каспийский акционерный банк (ВКА-банк),05.12.2019,05.12.2019,0,,,,,,,,,,,,,,,,,,,,,
88,ПАО Совкомбанк,SVCB,Септем Капитал / Yango. Доходчивые вложения,11.12.2019,11.12.2019,0,,,,,,,,,,,,,,,,,,,,,
89,ПАО Совкомбанк,SVCB,Соллерс-Финанс,24.12.2019,24.12.2019,0,,,,,,,,,,,,,,,,,,,,,
90,Т-банк (Тинькофф),T,CloudPayments,13.10.2017,13.10.2017,0,,,,,,,,,,,,,,,,,,,,,
91,Сбер (Сбербанк),SBER,Shiptor,30.07.2019,30.07.2019,0,0.0128693825547573,0.0128693825547573,-0.0424191948175236,-0.0424191948175236,-0.0176042424601,-0.0176042424601,-0.0509336219352314,-0.0509336219352314,,,,,,,-0.0212080402139548,-0.0196555411286786,0.0,0.0,0.0,0.0,
92,Сбер (Сбербанк),SBER,PayZakat,11.06.2019,11.06.2019,0,-0.0302500360488769,-0.0302500360488769,-0.0029776586019401,-0.0029776586019401,0.004303391785611,0.004303391785611,0.0228028403682766,0.0228028403682766,,,,,,,0.0384435413013626,0.092542658735921,0.0,0.0,0.0,0.0,
93,Сбер (Сбербанк),SBER,rabota.ru,01.04.2019,02.04.2019,-1,0.0147093516267572,0.021489126996534,0.0176617514691999,0.0612504874988487,0.1134832790440671,0.1076883054582447,0.1581290263683799,0.1274081734835366,,,,,,,0.0476422529242106,0.0499522548146555,0.006779775369776798,0.0435887360296488,-0.005794973585822399,-0.030720852884843275,
94,Т-банк (Тинькофф),T,CloudPayments,13.10.2017,13.10.2017,0,,,,,,,,,,,,,,,,,,,,,
